protein,source_layer,source_head,source_group,alpha_star,replay_metric,replay_drop,replay_fraction_of_total_drop,replay_fraction_of_late_set_drop,source_blocking_metric,source_blocking_reduction,source_blocking_fraction_of_total_drop,pass_c_receiver_diff_l1_sum,total_receiver_diff_l1_sum,source_total_attn_diff_l1,source_pass_c_attn_diff_l1
2B61A,11,1,,0.25,0.5621281862258911,0.011666297912597656,0.048143736582960124,0.07125858999169375,0.3671143054962158,0.03564205765724182,0.14708537772483898,46.545557498931885,296.7543182373047,23.772987365722656,23.772987365722656
2B61A,22,14,,0.25,0.5660719871520996,0.00772249698638916,0.031868709633580676,0.047169569180208384,0.3755548298358917,0.044082581996917725,0.18191719699396813,49.33211612701416,296.7543182373047,54.57559585571289,11.355096817016602
2B61A,14,9,,0.25,0.564470648765564,0.009323835372924805,0.03847701108783253,0.056950659666581534,0.3444533050060272,0.012981057167053223,0.05356940149317702,48.32544708251953,296.7543182373047,48.90373992919922,15.892125129699707
2B61A,11,16,,0.25,0.5645349025726318,0.009259581565856934,0.03821185256152852,0.056558192773694234,0.3345855176448822,0.003113269805908203,0.012847643920140057,56.8897123336792,296.7543182373047,40.649444580078125,40.649444580078125
2B61A,19,0,,0.25,0.5664147734642029,0.007379710674285889,0.03045412087219445,0.045075805635686236,0.3389962315559387,0.007523983716964722,0.031049497693083926,47.80424404144287,296.7543182373047,52.07868576049805,8.398902893066406
2B61A,17,18,,0.25,0.5658661127090454,0.00792837142944336,0.032718299197452706,0.048427065143133004,0.33834752440452576,0.006875276565551758,0.028372454259846747,48.826436042785645,296.7543182373047,71.58836364746094,16.003925323486328
2B61A,14,14,,0.25,0.5651117563247681,0.008682727813720703,0.03583132916860626,0.05303472840508263,0.32940173149108887,-0.002070516347885132,-0.008544475238854826,48.57146072387695,296.7543182373047,36.27153015136719,10.794954299926758
2B61A,16,17,,0.25,0.5662349462509155,0.007559537887573242,0.031196220384123202,0.04617420323850719,0.3371880054473877,0.005715757608413696,0.02358742513975859,48.07159900665283,296.7543182373047,51.60954284667969,13.28007698059082
2B61A,15,2,,0.25,0.5685480237007141,0.005246460437774658,0.0216507594098378,0.032045759164038234,0.3445015549659729,0.013029307126998901,0.05376851636056394,49.24923229217529,296.7543182373047,50.437217712402344,13.583608627319336
2B61A,13,8,,0.25,0.5668309926986694,0.006963491439819336,0.028736493795032212,0.04253350849929289,0.3366921544075012,0.005219906568527222,0.021541178590293798,49.02353000640869,296.7543182373047,41.93424606323242,14.586692810058594
2B61A,11,6,,0.25,0.5672941207885742,0.006500363349914551,0.026825286235308516,0.039704688686923374,0.3379427492618561,0.00647050142288208,0.026702053933195056,46.68781280517578,296.7543182373047,24.592470169067383,24.592470169067383
2B61A,17,5,,0.25,0.5659067630767822,0.007887721061706543,0.032550545844076705,0.04817876976191859,0.3335791826248169,0.0021069347858428955,0.008694764533448284,48.59530448913574,296.7543182373047,64.0061264038086,10.461471557617188
2B61A,14,0,,0.25,0.5654791593551636,0.008315324783325195,0.03431515369909058,0.05079060416783093,0.33551013469696045,0.00403788685798645,0.016663294791467453,47.98054027557373,296.7543182373047,52.754310607910156,18.148988723754883
2B61A,16,15,,0.25,0.5655183792114258,0.008276104927062988,0.03415330368952839,0.05055104645399063,0.33622559905052185,0.0047533512115478516,0.019615827602682823,47.15058708190918,296.7543182373047,45.12685775756836,10.272163391113281
2B61A,13,18,,0.25,0.5665531158447266,0.007241368293762207,0.02988321833086643,0.0442308003867146,0.33460280299186707,0.0031305551528930664,0.012918975991223696,48.68685960769653,296.7543182373047,50.12234878540039,18.31285858154297
2B61A,12,3,,0.25,0.5663019418716431,0.007492542266845703,0.030919747115509377,0.0457649891498195,0.33593523502349854,0.004462987184524536,0.018417571794807148,49.42860794067383,296.7543182373047,25.700336456298828,18.83011245727539
2B61A,14,19,,0.25,0.566411554813385,0.00738292932510376,0.03046740339577554,0.045095465387277996,0.3326495289802551,0.001177281141281128,0.004858328972443068,47.84536838531494,296.7543182373047,32.97380828857422,10.832244873046875
2B61A,16,7,,0.25,0.5679488778114319,0.005845606327056885,0.02412327657719206,0.03570538551589646,0.32923734188079834,-0.002234905958175659,-0.00922286783212612,50.37282848358154,296.7543182373047,80.5358657836914,14.437095642089844
2B61A,19,15,,0.25,0.562298059463501,0.011496424674987793,0.04744271450506919,0.07022099199101768,0.33776596188545227,0.0062937140464782715,0.02597249902687067,49.97859477996826,296.7543182373047,53.71565246582031,14.01210880279541
2B61A,14,13,,0.25,0.5655170679092407,0.008277416229248047,0.03415871508802439,0.0505590559824169,0.3346652388572693,0.003192991018295288,0.013176632351430977,48.70232343673706,296.7543182373047,41.50669860839844,13.265453338623047
1PVGA,13,2,INTRA,0.25,0.5898594856262207,0.002270638942718506,0.009065781831763887,0.011304060381694158,0.35621723532676697,0.014549672603607178,0.05809120731012101,73.0336332321167,284.7632293701172,42.68044662475586,20.81852912902832
1PVGA,17,10,INTRA,0.25,0.586269199848175,0.00586092472076416,0.02340040234984494,0.029177799116209123,0.36763206124305725,0.02596449851989746,0.1036661859902436,71.3166332244873,284.7632293701172,43.44169616699219,17.308395385742188
1PVGA,14,4,CROSS,0.25,0.5894160270690918,0.002714097499847412,0.010836340089496485,0.013511757172343968,0.3745977580547333,0.032930195331573486,0.13147751539749092,72.02693367004395,284.7632293701172,40.48793029785156,20.732141494750977
1PVGA,15,8,CROSS,0.25,0.5888474583625793,0.0032826662063598633,0.013106414715909287,0.01634229745272146,0.3693610727787018,0.027693510055541992,0.11056945936931716,71.89577388763428,284.7632293701172,47.32292175292969,20.351945877075195
1PVGA,11,14,ANCHOR,0.25,0.5888768434524536,0.0032532811164855957,0.012989091433508458,0.016196007866996952,0.3654574453830719,0.02378988265991211,0.09498378713606133,77.62677574157715,284.7632293701172,46.606224060058594,46.606224060058594
1PVGA,11,16,ANCHOR,0.25,0.589408814907074,0.0027213096618652344,0.010865135459010683,0.013547661918535988,0.42606955766677856,0.08440199494361877,0.33698447513121227,90.31172466278076,284.7632293701172,67.21766662597656,67.21766662597656
1PVGA,12,10,ANCHOR,0.25,0.5931318998336792,-0.0010017752647399902,-0.003999700623348357,-0.004987198919415506,0.3803640902042389,0.0386965274810791,0.15450024624800499,70.67424583435059,284.7632293701172,49.244239807128906,29.176626205444336
1PVGA,12,15,ANCHOR,0.25,0.5905960202217102,0.001534104347229004,0.006125084467408818,0.00763732526851409,0.35667943954467773,0.015011876821517944,0.059936609730764485,73.46468734741211,284.7632293701172,53.412147521972656,27.417007446289062
1PVGA,13,18,ANCHOR,0.25,0.5871697068214417,0.004960417747497559,0.019805026790997615,0.02469475031067991,0.36507079005241394,0.02340322732925415,0.09344002216053561,69.20730686187744,284.7632293701172,43.28799057006836,29.258686065673828
1PVGA,14,9,ANCHOR,0.25,0.588243842124939,0.003886282444000244,0.015516420559465472,0.019347316995585794,0.36357465386390686,0.02190709114074707,0.08746652984503213,74.76766014099121,284.7632293701172,52.17622375488281,25.088542938232422
1PVGA,17,18,ANCHOR,0.25,0.5891972184181213,0.002932906150817871,0.011709958283600835,0.014601065629128303,0.3589916527271271,0.017324090003967285,0.0691683813991908,72.20581436157227,284.7632293701172,58.24879455566406,23.36456298828125
1PVGA,12,8,OTHER,0.25,0.5903821587562561,0.0017479658126831055,0.00697895046589599,0.008702004849811337,0.3488564193248749,0.007188856601715088,0.028702320014364367,72.27373504638672,284.7632293701172,43.68634033203125,25.44144058227539
1PVGA,13,17,OTHER,0.25,0.5888461470603943,0.003283977508544922,0.013111650237639142,0.016348825588392738,0.34797176718711853,0.00630420446395874,0.025170246672796194,71.87132549285889,284.7632293701172,42.17718505859375,22.324058532714844
1PVGA,14,0,OTHER,0.25,0.5895662903785706,0.0025638341903686523,0.010236396894907253,0.012763692171103623,0.35482990741729736,0.013162344694137573,0.05255214430906522,71.7038927078247,284.7632293701172,45.40865707397461,25.958633422851562
1PVGA,14,3,OTHER,0.25,0.5899714231491089,0.0021587014198303223,0.008618858658642675,0.010746794982118843,0.35070082545280457,0.009033262729644775,0.03606631930566511,71.271315574646,284.7632293701172,41.1773567199707,18.00730323791504
1PVGA,16,7,OTHER,0.25,0.5891996622085571,0.00293046236038208,0.01170020117492247,0.014588899558104561,0.3428916335105896,0.0012240707874298096,0.004887240545688911,73.6436595916748,284.7632293701172,61.35755920410156,23.605976104736328
1PVGA,16,14,OTHER,0.25,0.5891951322555542,0.0029349923133850098,0.011718287522716512,0.014611451299514425,0.3600744307041168,0.01840686798095703,0.07349149447848789,72.01952171325684,284.7632293701172,46.69243621826172,16.897523880004883
1PVGA,20,3,OTHER,0.25,0.5889944434165955,0.00313568115234375,0.012519560325644693,0.015610552790659307,0.34756502509117126,0.005897462368011475,0.02354628302349952,72.08227157592773,284.7632293701172,36.950927734375,11.311314582824707
1PVGA,21,13,OTHER,0.25,0.5921439528465271,-1.3828277587890625e-05,-5.521095642391972e-05,-6.884215798800484e-05,0.3466954231262207,0.005027860403060913,0.020074299192694448,71.50340270996094,284.7632293701172,30.303403854370117,10.23442268371582
1PVGA,24,18,OTHER,0.25,0.5892162322998047,0.0029138922691345215,0.011634043218517945,0.014506407661894797,0.3461681306362152,0.00450056791305542,0.017969024511641837,70.81734943389893,284.7632293701172,89.08000183105469,30.04544448852539
