protein,target_layer,target_head,source_layer,source_head,source_group,upstream_mode,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,26,16,11,1,,free,0.25,0.5700075030326843,0.0037869811058044434,0.0156278728837896,8.231175422668457,174.2942657470703,186.4915313720703,80.46744537353516,55.29010772705078
2B61A,26,16,22,14,,free,0.25,0.5211206674575806,0.0526738166809082,0.21737095813114893,48.005088806152344,173.1436004638672,185.86083984375,80.80391693115234,55.29010772705078
2B61A,26,16,14,9,,free,0.25,0.564935028553009,0.008859455585479736,0.03656063810227174,22.531055450439453,174.7320556640625,186.74679565429688,81.41397857666016,55.29010772705078
2B61A,26,16,11,16,,free,0.25,0.5706720948219299,0.003122389316558838,0.012885277736953148,10.369714736938477,174.40562438964844,186.48629760742188,80.75316619873047,55.29010772705078
2B61A,26,16,19,0,,free,0.25,0.5391464829444885,0.034648001194000244,0.14298316870588249,44.738189697265625,174.73257446289062,186.4022216796875,81.99832916259766,55.29010772705078
2B61A,26,16,17,18,,free,0.25,0.5534493923187256,0.020345091819763184,0.08395883155607839,40.08062744140625,174.9896697998047,186.32106018066406,82.47750091552734,55.29010772705078
2B61A,26,16,14,14,,free,0.25,0.567305862903595,0.006488621234893799,0.02677682962150342,21.471397399902344,174.531005859375,186.78021240234375,81.21418762207031,55.29010772705078
2B61A,26,16,16,17,,free,0.25,0.5597303509712219,0.014064133167266846,0.058038970678214265,30.50156593322754,174.36569213867188,186.2353973388672,81.59052276611328,55.29010772705078
2B61A,26,16,15,2,,free,0.25,0.563177227973938,0.010617256164550781,0.04381461778615998,24.94595718383789,174.6745147705078,186.4049530029297,81.55918884277344,55.29010772705078
2B61A,26,16,13,8,,free,0.25,0.56723952293396,0.006554961204528809,0.02705059719086925,15.676901817321777,174.3087921142578,186.8623504638672,80.8421859741211,55.29010772705078
2B61A,26,16,11,6,,free,0.25,0.5712903738021851,0.002504110336303711,0.010333803346089066,7.886815071105957,174.30946350097656,186.46836853027344,80.51848602294922,55.29010772705078
