feature,coefficient,abs_coefficient
sse_0_C,1.828348,1.828348
sse_-1_E,1.471793,1.471793
sse_2_H,1.403025,1.403025
sse_-3_H,-1.225108,1.225108
sse_1_C,-1.211821,1.211821
sse_1_H,1.078101,1.078101
sse_15_E,-0.834821,0.834821
sse_0_E,-0.804562,0.804562
sse_21_H,0.790229,0.790229
sse_trans_0,-0.768886,0.768886
sse_3_H,-0.740166,0.740166
sse_-3_E,0.700790,0.700790
sse_trans_-2,0.671817,0.671817
sse_-11_H,0.668696,0.668696
sse_-5_E,-0.665166,0.665166
sse_3_C,0.635943,0.635943
sse_-23_C,0.605279,0.605279
sse_27_H,-0.603981,0.603981
sse_19_E,-0.573882,0.573882
sse_trans_2,-0.555672,0.555672
sse_-1_C,-0.527749,0.527749
sse_2_C,-0.523660,0.523660
sse_16_H,-0.499789,0.499789
sse_20_E,0.497379,0.497379
sse_-24_H,0.486763,0.486763
sse_trans_-24,0.484243,0.484243
sse_-13_E,0.482853,0.482853
sse_trans_25,0.449032,0.449032
sse_17_H,0.425364,0.425364
sse_27_E,0.413424,0.413424
sse_trans_-12,-0.398171,0.398171
sse_20_H,-0.396452,0.396452
sse_trans_-15,-0.372503,0.372503
sse_4_H,-0.371922,0.371922
sse_-16_H,-0.359669,0.359669
sse_11_E,-0.358724,0.358724
sse_4_E,0.353816,0.353816
sse_-4_C,0.349330,0.349330
sse_18_E,0.348576,0.348576
sse_trans_1,-0.348284,0.348284
sse_trans_19,0.341720,0.341720
sse_-10_E,-0.339693,0.339693
sse_trans_-10,-0.337215,0.337215
sse_trans_-1,0.334106,0.334106
sse_6_C,-0.330007,0.330007
sse_trans_-29,0.324766,0.324766
sse_-17_E,0.322065,0.322065
sse_-6_H,0.315917,0.315917
sse_5_H,0.314594,0.314594
sse_trans_-4,-0.312625,0.312625
sse_trans_-14,-0.311157,0.311157
sse_-20_E,-0.308174,0.308174
sse_6_H,0.306585,0.306585
sse_22_C,0.295725,0.295725
sse_trans_26,0.294048,0.294048
sse_-2_C,0.279445,0.279445
sse_trans_-26,0.278172,0.278172
sse_trans_4,0.272290,0.272290
sse_14_H,-0.270724,0.270724
sse_14_E,0.267062,0.267062
sse_-9_E,0.264629,0.264629
sse_trans_23,0.263886,0.263886
sse_trans_-27,-0.255956,0.255956
sse_15_H,0.255153,0.255153
sse_26_H,0.252609,0.252609
sse_trans_-3,-0.252165,0.252165
sse_trans_3,0.251561,0.251561
sse_-26_C,0.246828,0.246828
sse_-25_H,0.245825,0.245825
sse_-29_E,-0.245444,0.245444
sse_23_H,-0.245422,0.245422
sse_-18_H,0.242046,0.242046
sse_-30_E,0.238496,0.238496
sse_11_C,0.237811,0.237811
sse_-2_E,-0.235839,0.235839
sse_19_H,0.226786,0.226786
sse_23_E,0.226191,0.226191
sse_-4_H,-0.217476,0.217476
sse_-7_H,-0.215089,0.215089
sse_-5_H,0.213870,0.213870
sse_8_H,-0.210456,0.210456
sse_trans_13,0.204692,0.204692
sse_12_C,-0.198699,0.198699
sse_-17_H,-0.198596,0.198596
sse_-18_E,-0.197976,0.197976
sse_25_H,0.197650,0.197650
sse_8_C,0.196381,0.196381
sse_-9_H,-0.196247,0.196247
sse_-21_H,-0.193835,0.193835
sse_30_C,-0.188527,0.188527
sse_7_E,-0.185179,0.185179
sse_29_E,-0.183598,0.183598
sse_trans_9,0.182937,0.182937
sse_trans_10,0.180344,0.180344
sse_-29_H,0.180075,0.180075
sse_-10_C,0.177911,0.177911
sse_9_C,0.176472,0.176472
sse_trans_14,0.172609,0.172609
sse_trans_5,0.171220,0.171220
sse_18_H,-0.168050,0.168050
sse_-27_E,0.164983,0.164983
sse_trans_11,-0.163882,0.163882
sse_5_E,-0.156966,0.156966
sse_-21_C,0.154835,0.154835
sse_trans_-20,0.152965,0.152965
sse_30_E,0.146246,0.146246
sse_trans_-9,-0.146219,0.146219
sse_trans_-17,-0.142458,0.142458
sse_26_E,-0.138772,0.138772
sse_-28_H,0.138754,0.138754
sse_7_C,0.138194,0.138194
sse_trans_29,-0.133493,0.133493
sse_24_C,-0.132371,0.132371
sse_22_H,-0.130511,0.130511
sse_10_C,-0.130341,0.130341
sse_trans_-21,0.129899,0.129899
sse_-11_C,-0.128884,0.128884
sse_-22_E,0.124365,0.124365
sse_trans_-16,-0.119335,0.119335
sse_trans_15,-0.118742,0.118742
sse_trans_12,0.117326,0.117326
sse_13_C,-0.115921,0.115921
sse_trans_21,0.115402,0.115402
sse_trans_30,-0.112134,0.112134
sse_trans_-6,0.110226,0.110226
sse_-15_C,-0.109060,0.109060
sse_-25_E,-0.108367,0.108367
sse_-26_E,-0.107579,0.107579
sse_trans_-28,-0.106873,0.106873
sse_-16_E,0.106827,0.106827
sse_-28_C,-0.101266,0.101266
sse_-14_H,0.096771,0.096771
sse_-8_E,-0.096435,0.096435
sse_-30_C,-0.089801,0.089801
sse_trans_-22,0.089671,0.089671
sse_trans_24,0.087418,0.087418
sse_-19_E,-0.084647,0.084647
sse_13_H,0.084467,0.084467
sse_trans_-8,0.083302,0.083302
sse_trans_-11,0.083247,0.083247
sse_9_E,-0.079712,0.079712
sse_-6_C,-0.076280,0.076280
sse_-20_C,0.075352,0.075352
sse_17_E,-0.074842,0.074842
sse_-14_C,-0.074679,0.074679
sse_-7_E,0.074175,0.074175
sse_29_C,0.073968,0.073968
sse_trans_17,0.069129,0.069129
sse_trans_7,0.063731,0.063731
sse_10_E,0.063106,0.063106
sse_25_C,-0.063023,0.063023
sse_-15_H,0.058362,0.058362
sse_-22_C,-0.057615,0.057615
sse_-23_H,-0.057098,0.057098
sse_24_E,0.056969,0.056969
sse_-13_C,-0.055198,0.055198
sse_-8_H,0.054988,0.054988
sse_-15_E,0.054212,0.054212
sse_21_C,-0.053046,0.053046
sse_-19_C,0.052456,0.052456
sse_trans_16,0.050458,0.050458
sse_12_H,0.050443,0.050443
sse_-12_C,0.049763,0.049763
sse_trans_18,-0.048786,0.048786
sse_trans_6,0.047998,0.047998
sse_12_E,0.047186,0.047186
sse_28_E,-0.045586,0.045586
sse_16_E,0.045173,0.045173
sse_28_C,0.044551,0.044551
sse_trans_-25,0.043240,0.043240
sse_24_H,0.043120,0.043120
sse_-12_E,-0.042706,0.042706
sse_16_C,0.041975,0.041975
sse_-24_C,-0.041925,0.041925
sse_28_H,0.041403,0.041403
sse_trans_-23,-0.039347,0.039347
sse_trans_27,-0.037490,0.037490
sse_-23_E,-0.034437,0.034437
sse_trans_-18,-0.032008,0.032008
sse_trans_-7,-0.027492,0.027492
sse_-24_E,-0.027039,0.027039
sse_trans_20,-0.026702,0.026702
sse_29_H,0.026537,0.026537
sse_-27_C,-0.026062,0.026062
sse_-26_H,-0.025319,0.025319
sse_-22_H,-0.024781,0.024781
sse_-4_E,-0.022050,0.022050
sse_13_E,0.019715,0.019715
sse_10_H,0.018045,0.018045
sse_-13_H,-0.015874,0.015874
sse_-7_C,0.015853,0.015853
sse_-19_H,0.014869,0.014869
sse_trans_28,-0.013754,0.013754
sse_trans_-19,0.013528,0.013528
sse_21_E,-0.013077,0.013077
sse_trans_-13,-0.012502,0.012502
sse_trans_8,-0.012429,0.012429
sse_17_C,-0.012307,0.012307
sse_25_E,-0.012172,0.012172
sse_7_H,-0.010002,0.010002
sse_trans_22,0.008563,0.008563
sse_-27_H,-0.008006,0.008006
sse_-8_C,0.006093,0.006093
sse_trans_-5,-0.006033,0.006033
sse_-6_E,-0.005722,0.005722
sse_-20_H,0.005600,0.005600
sse_-18_C,-0.005452,0.005452
sse_-2_H,0.004087,0.004087
sse_-12_H,-0.003360,0.003360
sse_18_C,-0.003173,0.003173
sse_-16_C,0.002900,0.002900
sse_23_C,-0.002676,0.002676
sse_9_H,-0.002477,0.002477
sse_-14_E,-0.001531,0.001531
sse_30_H,0.001442,0.001442
sse_-28_E,0.001265,0.001265
sse_-30_H,-0.000213,0.000213
sse_-10_H,0.000000,0.000000
sse_-11_E,0.000000,0.000000
sse_-17_C,0.000000,0.000000
sse_-1_H,0.000000,0.000000
sse_-21_E,0.000000,0.000000
sse_-25_C,0.000000,0.000000
sse_-29_C,0.000000,0.000000
sse_-3_C,0.000000,0.000000
sse_-5_C,0.000000,0.000000
sse_-9_C,0.000000,0.000000
sse_0_H,0.000000,0.000000
sse_11_H,0.000000,0.000000
sse_14_C,0.000000,0.000000
sse_15_C,0.000000,0.000000
sse_19_C,0.000000,0.000000
sse_1_E,0.000000,0.000000
sse_20_C,0.000000,0.000000
sse_22_E,0.000000,0.000000
sse_26_C,0.000000,0.000000
sse_27_C,0.000000,0.000000
sse_2_E,0.000000,0.000000
sse_3_E,0.000000,0.000000
sse_4_C,0.000000,0.000000
sse_5_C,0.000000,0.000000
sse_6_E,0.000000,0.000000
sse_8_E,0.000000,0.000000
