feature,coefficient,abs_coefficient
rsa_0,13.076336,13.076336
rsa_-1,-6.985290,6.985290
rsa_4,-3.754977,3.754977
lrf_-3,2.961577,2.961577
rsa_3,-2.854592,2.854592
rsa_1,-2.091126,2.091126
rsa_-5,2.087955,2.087955
cnt_center_-4,-2.086959,2.086959
rsa_-2,-2.084365,2.084365
cnt_center_-3,1.971536,1.971536
cnt_center_6,-1.769561,1.769561
lrf_-15,-1.733295,1.733295
cnt_center_-25,-1.703255,1.703255
lrf_25,1.639378,1.639378
lrf_-14,1.633873,1.633873
rsa_14,1.404487,1.404487
rsa_-17,1.365828,1.365828
lrf_11,-1.347589,1.347589
cnt_center_29,1.337865,1.337865
rsa_-11,-1.286294,1.286294
cnt_center_-20,-1.281001,1.281001
rsa_2,1.212801,1.212801
rsa_7,-1.212436,1.212436
rsa_-24,1.206919,1.206919
lrf_-24,1.197784,1.197784
cnt_center_-5,-1.168179,1.168179
lrf_6,-1.157856,1.157856
lrf_5,1.152660,1.152660
rsa_6,-1.125579,1.125579
lrf_-28,-1.123921,1.123921
cnt_center_20,-1.106472,1.106472
lrf_0,-1.078758,1.078758
lrf_20,-1.076980,1.076980
cnt_center_-28,-1.051528,1.051528
cnt_center_-19,-1.023606,1.023606
rsa_11,-1.020702,1.020702
rsa_-12,1.015917,1.015917
cnt_center_13,0.978083,0.978083
rsa_9,-0.945644,0.945644
lrf_-10,-0.943943,0.943943
lrf_16,0.936290,0.936290
lrf_1,0.908834,0.908834
lrf_-23,-0.908223,0.908223
lrf_-19,0.891990,0.891990
lrf_-18,0.888250,0.888250
lrf_-7,0.878215,0.878215
rsa_-18,0.876936,0.876936
lrf_-6,-0.873668,0.873668
cnt_center_-27,0.872387,0.872387
rsa_-14,0.842932,0.842932
rsa_30,0.824657,0.824657
rsa_-27,0.821115,0.821115
lrf_-8,0.816787,0.816787
rsa_-22,0.794299,0.794299
rsa_-19,0.784160,0.784160
rsa_-28,0.774128,0.774128
lrf_-5,-0.727347,0.727347
lrf_13,0.726534,0.726534
rsa_-4,-0.719274,0.719274
cnt_center_12,-0.701830,0.701830
lrf_26,0.688578,0.688578
cnt_center_7,-0.684488,0.684488
cnt_center_-15,0.675755,0.675755
rsa_-26,-0.671566,0.671566
cnt_center_-22,-0.657338,0.657338
cnt_center_-7,-0.654651,0.654651
lrf_18,0.653894,0.653894
rsa_-21,-0.633978,0.633978
lrf_3,0.618683,0.618683
rsa_-25,0.613697,0.613697
cnt_center_18,0.606474,0.606474
lrf_-16,-0.605250,0.605250
rsa_-16,0.594474,0.594474
lrf_28,-0.584075,0.584075
lrf_-25,-0.574474,0.574474
lrf_-9,-0.571352,0.571352
rsa_-3,-0.569316,0.569316
cnt_center_2,0.541841,0.541841
cnt_center_10,-0.530654,0.530654
cnt_center_-1,-0.527158,0.527158
lrf_14,0.525501,0.525501
rsa_26,-0.523001,0.523001
lrf_-30,-0.517742,0.517742
cnt_center_-14,0.512942,0.512942
lrf_-17,0.500737,0.500737
lrf_-21,-0.487231,0.487231
cnt_center_-26,0.479633,0.479633
rsa_16,0.433933,0.433933
lrf_-11,-0.431867,0.431867
lrf_27,-0.419299,0.419299
cnt_center_27,-0.414890,0.414890
cnt_center_21,0.411371,0.411371
lrf_-29,-0.410251,0.410251
cnt_center_9,-0.383346,0.383346
rsa_17,-0.378903,0.378903
lrf_10,0.375036,0.375036
lrf_2,-0.366508,0.366508
cnt_center_23,-0.362349,0.362349
rsa_18,0.353946,0.353946
cnt_center_-11,-0.351005,0.351005
lrf_-12,-0.345393,0.345393
rsa_23,-0.339030,0.339030
cnt_center_26,0.336284,0.336284
cnt_center_-18,-0.326796,0.326796
rsa_-23,-0.314221,0.314221
cnt_center_-13,-0.313423,0.313423
cnt_center_5,-0.312303,0.312303
cnt_center_3,0.292552,0.292552
lrf_-1,-0.289368,0.289368
lrf_29,-0.286243,0.286243
cnt_center_28,-0.285069,0.285069
lrf_-2,-0.257549,0.257549
rsa_13,-0.256697,0.256697
cnt_center_-29,0.241901,0.241901
cnt_center_-12,-0.238511,0.238511
lrf_22,0.232204,0.232204
cnt_center_19,-0.231177,0.231177
rsa_-7,-0.228695,0.228695
lrf_-4,0.228365,0.228365
rsa_10,0.228312,0.228312
rsa_22,0.214579,0.214579
cnt_center_4,0.207931,0.207931
rsa_28,-0.201978,0.201978
cnt_center_24,0.201154,0.201154
rsa_5,-0.200480,0.200480
cnt_center_-6,0.189289,0.189289
rsa_29,-0.183175,0.183175
cnt_center_16,0.182768,0.182768
lrf_17,-0.181348,0.181348
lrf_4,-0.178876,0.178876
rsa_12,0.177349,0.177349
rsa_-9,0.177309,0.177309
cnt_center_1,-0.172637,0.172637
cnt_center_-30,-0.165523,0.165523
cnt_center_-24,-0.161294,0.161294
cnt_center_-2,-0.160590,0.160590
cnt_center_-21,0.157287,0.157287
lrf_-27,0.155383,0.155383
c8a_0,-0.148657,0.148657
lrf_19,-0.146139,0.146139
lrf_8,0.141452,0.141452
c8a_-4,-0.136955,0.136955
lrf_-13,0.135672,0.135672
rsa_21,0.133927,0.133927
lrf_9,-0.130578,0.130578
rsa_19,-0.126106,0.126106
lrf_-26,-0.124720,0.124720
cnt_center_-16,-0.121646,0.121646
cnt_center_-8,0.121571,0.121571
rsa_15,-0.120998,0.120998
rsa_-10,-0.116616,0.116616
lrf_23,-0.115359,0.115359
c8a_-12,0.114982,0.114982
c8a_2,0.114813,0.114813
rsa_-29,0.114092,0.114092
rsa_20,-0.112133,0.112133
lrf_7,-0.111479,0.111479
lrf_15,-0.109302,0.109302
cnt_center_25,-0.109035,0.109035
c8a_1,-0.108573,0.108573
lrf_-20,0.107116,0.107116
lrf_21,0.103611,0.103611
c8a_-28,0.103041,0.103041
rsa_-30,0.101937,0.101937
c8a_13,-0.099582,0.099582
cnt_center_30,-0.097986,0.097986
lrf_-22,0.097251,0.097251
c8a_26,-0.094733,0.094733
c8a_-18,-0.092967,0.092967
c8a_-21,-0.090008,0.090008
rsa_-6,0.085569,0.085569
cnt_center_22,-0.083695,0.083695
rsa_8,-0.079664,0.079664
cnt_center_-23,-0.079518,0.079518
c8a_14,0.079307,0.079307
c8a_7,0.076730,0.076730
c8a_25,-0.072643,0.072643
cnt_center_-17,-0.070541,0.070541
c8a_-22,0.068474,0.068474
c8a_-17,0.068259,0.068259
lrf_12,-0.067901,0.067901
rsa_-13,-0.065230,0.065230
c8a_-1,0.064691,0.064691
rsa_-8,-0.064575,0.064575
c8a_4,0.064484,0.064484
c8a_-2,0.063219,0.063219
c8a_27,0.060100,0.060100
c8a_18,-0.059808,0.059808
c8a_-3,0.059566,0.059566
c8a_20,0.055586,0.055586
rsa_24,-0.050887,0.050887
c8a_17,0.050635,0.050635
c8a_-6,-0.048486,0.048486
c8a_-16,0.046432,0.046432
c8a_-5,0.046173,0.046173
rsa_-15,-0.046166,0.046166
lrf_24,-0.042907,0.042907
c8a_23,0.042002,0.042002
rsa_27,-0.040380,0.040380
cnt_center_-9,0.038723,0.038723
cnt_center_11,-0.038444,0.038444
c8a_-29,0.036097,0.036097
cnt_center_15,-0.035708,0.035708
c8a_-14,-0.035681,0.035681
c8a_15,0.035172,0.035172
c8a_29,-0.030545,0.030545
cnt_center_14,0.030435,0.030435
rsa_25,-0.030331,0.030331
rsa_-20,0.029561,0.029561
cnt_center_8,-0.027801,0.027801
c8a_12,0.024438,0.024438
c8a_-27,0.022483,0.022483
c8a_30,0.022437,0.022437
c8a_-26,-0.019578,0.019578
c8a_28,-0.019532,0.019532
c8a_-23,-0.018802,0.018802
c8a_6,-0.017811,0.017811
c8a_3,0.017369,0.017369
c8a_11,0.017267,0.017267
c8a_24,0.015963,0.015963
c8a_-10,0.015561,0.015561
c8a_-11,-0.015076,0.015076
c8a_-15,0.015024,0.015024
c8a_16,-0.014767,0.014767
cnt_center_-10,0.014259,0.014259
lrf_30,-0.013303,0.013303
c8a_-9,0.012933,0.012933
c8a_-20,0.011268,0.011268
c8a_21,-0.011216,0.011216
c8a_10,-0.010740,0.010740
c8a_19,-0.009731,0.009731
c8a_-13,0.007117,0.007117
c8a_8,0.006956,0.006956
c8a_-30,0.006721,0.006721
c8a_9,0.006054,0.006054
c8a_-8,0.005321,0.005321
c8a_-24,0.004592,0.004592
c8a_22,0.003990,0.003990
c8a_5,-0.003546,0.003546
c8a_-7,0.002674,0.002674
cnt_center_17,-0.001617,0.001617
c8a_-19,-0.001526,0.001526
c8a_-25,-0.000031,0.000031
cnt_center_0,0.000000,0.000000
