feature,coefficient,abs_coefficient
flex_5,-3.803332,3.803332
flex_3,-3.149621,3.149621
flex_-4,2.951213,2.951213
flex_0,2.896668,2.896668
flex_-29,2.891107,2.891107
flex_4,-2.763630,2.763630
flex_-1,-2.492781,2.492781
flex_29,2.352781,2.352781
flex_-12,2.335281,2.335281
flex_6,-2.233935,2.233935
flex_22,-2.187974,2.187974
flex_-30,-1.986646,1.986646
flex_1,-1.981997,1.981997
flex_17,1.945724,1.945724
flex_-2,1.589366,1.589366
flex_30,1.534972,1.534972
flex_13,-1.414919,1.414919
flex_14,-1.407607,1.407607
flex_20,-1.401455,1.401455
flex_-8,1.387621,1.387621
flex_-24,-1.379945,1.379945
flex_-25,-1.354306,1.354306
flex_23,-1.320328,1.320328
flex_-14,-1.182874,1.182874
flex_-20,1.131810,1.131810
flex_27,-1.091921,1.091921
flex_-10,-1.040768,1.040768
flex_-3,-1.017197,1.017197
flex_26,-0.978154,0.978154
flex_2,0.946157,0.946157
flex_-5,0.915717,0.915717
flex_16,-0.899978,0.899978
flex_-26,-0.872887,0.872887
flex_-27,-0.870363,0.870363
flex_25,-0.862907,0.862907
flex_-9,0.854164,0.854164
flex_21,0.828202,0.828202
flex_8,-0.760486,0.760486
flex_12,-0.624777,0.624777
flex_9,-0.575561,0.575561
flex_11,0.543207,0.543207
flex_-22,-0.524606,0.524606
flex_-21,0.503104,0.503104
flex_18,0.476549,0.476549
flex_-17,0.462965,0.462965
flex_-28,0.462558,0.462558
charge_-2,-0.442110,0.442110
flex_28,0.406290,0.406290
flex_-13,0.404012,0.404012
flex_-7,0.401283,0.401283
flex_19,-0.394401,0.394401
flex_24,-0.388187,0.388187
charge_3,-0.385896,0.385896
charge_0,0.373744,0.373744
charge_1,-0.360502,0.360502
charge_-30,-0.332220,0.332220
flex_7,-0.329919,0.329919
charge_19,0.320454,0.320454
charge_4,0.313183,0.313183
charge_2,-0.312976,0.312976
flex_-15,-0.310061,0.310061
charge_-17,-0.303354,0.303354
charge_9,0.294531,0.294531
hydro_0,0.279510,0.279510
charge_-20,-0.254604,0.254604
charge_-26,-0.251560,0.251560
flex_-18,-0.241117,0.241117
charge_5,-0.234563,0.234563
flex_-11,-0.217220,0.217220
