protein,context,variant,alpha,segment_metric,delta_from_context_baseline,anchor_positions,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
2B61A,full,baseline,nan,1.0,0.0,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,corrupt_head_patch_from_flank,nan,1.0112361907958984,0.011236190795898438,"[62, 315, 100]",0.25401419401168823,0.20959630608558655,0.20652177929878235,7.086461067199707,0.8280103660028206
2B61A,full,ln_all,0.0,1.0,0.0,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,ln_all,0.5,1.002669334411621,0.0026693344116210938,"[62, 315, 100]",0.9023311138153076,0.7311952114105225,0.42829060554504395,3.5899128913879395,0.41945973581577606
2B61A,full,ln_all,1.0,1.0088081359863281,0.008808135986328125,"[62, 315, 100]",0.6396915912628174,0.47051772475242615,0.3051094114780426,5.464766502380371,0.6385251070805618
2B61A,full,ln_all,2.0,1.0112632513046265,0.011263251304626465,"[62, 315, 100]",0.20920386910438538,0.04976917803287506,0.0896342322230339,7.585794925689697,0.8863545249568016
2B61A,full,ln_all,4.0,1.0216090679168701,0.021609067916870117,"[62, 315, 100]",0.17271755635738373,0.00015877344412729144,0.09571095556020737,7.6387939453125,0.892547141725528
2B61A,full,ln_all,8.0,1.0316810607910156,0.031681060791015625,"[62, 315, 100]",0.17278051376342773,4.049561574959171e-09,0.09748399257659912,7.6261186599731445,0.8910661108479848
2B61A,full,ln_all,10.0,1.0021398067474365,0.0021398067474365234,"[62, 315, 100]",0.17278051376342773,4.924685312324151e-11,0.09794773906469345,7.623818397521973,0.8907973390116569
2B61A,full,ln_all,12.0,0.8628571629524231,-0.1371428370475769,"[62, 315, 100]",0.17278051376342773,1.4987842781102878e-12,0.09819211065769196,7.623000621795654,0.8907017868351846
2B61A,full,ln_all,14.0,0.08342838287353516,-0.9165716171264648,"[62, 315, 100]",0.17278051376342773,6.517053877889284e-14,0.09830810129642487,7.622952461242676,0.8906961595641504
2B61A,full,ln_all,16.0,0.007839378900825977,-0.992160621099174,"[62, 315, 100]",0.17278051376342773,3.044005384195592e-15,0.09835964441299438,7.623228549957275,0.8907284188703763
2B61A,full,ln_all,32.0,0.0067217666655778885,-0.9932782333344221,"[62, 315, 100]",0.17260928452014923,9.041756062700878e-26,0.09855347126722336,7.624539852142334,0.8908816366460608
2B61A,full,k_only,0.0,1.0,0.0,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,k_only,0.5,1.0008213520050049,0.0008213520050048828,"[62, 315, 100]",0.9744957685470581,0.8649023175239563,0.47174254059791565,2.464400291442871,0.2879503560303076
2B61A,full,k_only,1.0,1.0016417503356934,0.0016417503356933594,"[62, 315, 100]",0.9661322832107544,0.841563880443573,0.4649343192577362,2.6706230640411377,0.3120462470255407
2B61A,full,k_only,2.0,1.0032891035079956,0.0032891035079956055,"[62, 315, 100]",0.9397198557853699,0.7878900766372681,0.44818657636642456,3.1284828186035156,0.3655444063123971
2B61A,full,k_only,4.0,1.0066486597061157,0.006648659706115723,"[62, 315, 100]",0.829249382019043,0.6455745100975037,0.3932376205921173,4.248574733734131,0.49642041167096346
2B61A,full,k_only,8.0,1.0107098817825317,0.010709881782531738,"[62, 315, 100]",0.36500564217567444,0.23929983377456665,0.16707029938697815,6.809530258178711,0.7956526661071316
2B61A,full,k_only,10.0,1.010195016860962,0.010195016860961914,"[62, 315, 100]",0.2483835369348526,0.10332591086626053,0.08344688266515732,7.417410850524902,0.8666798582389411
2B61A,full,k_only,12.0,1.0098462104797363,0.009846210479736328,"[62, 315, 100]",0.20204001665115356,0.04018706455826759,0.09016627818346024,7.61444091796875,0.8897016369110715
2B61A,full,k_only,14.0,1.009959101676941,0.009959101676940918,"[62, 315, 100]",0.17659837007522583,0.01513766497373581,0.09269385784864426,7.658250331878662,0.8948205035078014
2B61A,full,k_only,16.0,1.0102136135101318,0.010213613510131836,"[62, 315, 100]",0.17151637375354767,0.0056819492019712925,0.09359744191169739,7.661792755126953,0.8952344143643686
2B61A,full,k_only,32.0,1.0105947256088257,0.010594725608825684,"[62, 315, 100]",0.17255106568336487,3.0846904337522574e-06,0.09410219639539719,7.651346206665039,0.8940137979899342
2B61A,full,v_only,0.0,1.0,0.0,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,0.5,1.0014252662658691,0.0014252662658691406,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,1.0,1.0028585195541382,0.0028585195541381836,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,2.0,1.005799651145935,0.005799651145935059,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,4.0,1.0123733282089233,0.01237332820892334,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,8.0,1.0322387218475342,0.03223872184753418,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,10.0,1.045555591583252,0.04555559158325195,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,12.0,1.0509456396102905,0.05094563961029053,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,14.0,1.0363703966140747,0.03637039661407471,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,16.0,0.9601410031318665,-0.039858996868133545,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,full,v_only,32.0,0.007718286942690611,-0.9922817130573094,"[62, 315, 100]",0.9811191558837891,0.8859806656837463,0.4776380956172943,2.2739038467407227,0.2656919918899693
2B61A,flank,baseline,nan,0.573798656463623,0.0,"[315, 163, 181]",0.33094823360443115,0.3145676553249359,0.28058332204818726,6.574741840362549,0.7682190512286114
2B61A,flank,corrupt_head_patch_from_flank,nan,0.3730553984642029,-0.20074325799942017,"[315, 163, 181]",0.25401419401168823,0.2433711588382721,0.20652177929878235,7.086461067199707,0.8280103660028206
2B61A,flank,ln_all,0.0,0.573798656463623,0.0,"[315, 163, 181]",0.33094823360443115,0.3145676553249359,0.28058332204818726,6.574741840362549,0.7682190512286114
2B61A,flank,ln_all,0.5,0.13111311197280884,-0.4426855444908142,"[315, 163, 181]",0.09823782742023468,0.07909300178289413,0.07209091633558273,8.040023803710938,0.9394284381516764
2B61A,flank,ln_all,1.0,0.011080383323132992,-0.56271827314049,"[315, 163, 181]",0.055020593106746674,0.015594987198710442,0.022001352161169052,8.289933204650879,0.9686288489882798
2B61A,flank,ln_all,2.0,0.008394220843911171,-0.5654044356197119,"[315, 163, 181]",0.05477558821439743,0.0006613063160330057,0.022724026814103127,8.302473068237305,0.9700940566482614
