protein,base_setup,variant,alpha,anchor_positions,segment_metric,faithfulness,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
2B61A,clean,clean_baseline,nan,"[315, 163, 181]",0.573798656463623,1.0,0.33094823360443115,0.3145676553249359,0.28058332204818726,6.574741840362549,0.7682190512286114
2B61A,corrupt,corrupt_baseline,nan,"[315, 163, 181]",0.027855243533849716,0.0,0.25401419401168823,0.2433711588382721,0.20652177929878235,7.086461067199707,0.8280103660028206
2B61A,clean,corrupt_head_patch,nan,"[315, 163, 181]",0.3730553984642029,0.632300247159054,0.25401419401168823,0.2433711588382721,0.20652177929878235,7.086461067199707,0.8280103660028206
2B61A,clean,ln_all,0.0,"[315, 163, 181]",0.573798656463623,1.0,0.33094823360443115,0.3145676553249359,0.28058332204818726,6.574741840362549,0.7682190512286114
2B61A,clean,ln_all,0.5,"[315, 163, 181]",0.13111311197280884,0.18913657714969362,0.09823782742023468,0.07909300178289413,0.07209091633558273,8.040023803710938,0.9394284381516764
2B61A,clean,ln_all,1.0,"[315, 163, 181]",0.011080383323132992,-0.030726371659464524,0.055020593106746674,0.015594987198710442,0.022001352161169052,8.289933204650879,0.9686288489882798
2B61A,clean,ln_all,2.0,"[315, 163, 181]",0.008394220843911171,-0.0356465930882875,0.05477558821439743,0.0006613063160330057,0.022724026814103127,8.302473068237305,0.9700940566482614
2B61A,clean,ln_all,4.0,"[315, 163, 181]",0.008230254054069519,-0.03594692969087005,0.054778337478637695,3.1104168556339573e-06,0.02339995466172695,8.297280311584473,0.9694873142565511
2B61A,clean,ln_all,8.0,"[315, 163, 181]",0.008188276551663876,-0.03602381953221894,0.054778337478637695,1.871980209733337e-10,0.02488849312067032,8.291894912719727,0.9688580627807037
2B61A,clean,ln_all,10.0,"[315, 163, 181]",0.009263155050575733,-0.03405497354295499,0.054778337478637695,1.6004563126170712e-12,0.025483302772045135,8.28973388671875,0.9686055598863759
2B61A,clean,ln_all,12.0,"[315, 163, 181]",0.01087979320436716,-0.031093790908447445,0.054778337478637695,1.4062532469874198e-14,0.025928236544132233,8.288107872009277,0.9684155698445271
2B61A,clean,ln_all,14.0,"[315, 163, 181]",0.012653857469558716,-0.027844252177553812,0.054778337478637695,1.2602182659029082e-16,0.02624553255736828,8.286943435668945,0.9682795124597193
2B61A,clean,ln_all,16.0,"[315, 163, 181]",0.00843519251793623,-0.03557154561440154,0.054778337478637695,1.1467208967725685e-18,0.02646711654961109,8.286127090454102,0.9681841274299114
2B61A,clean,ln_all,32.0,"[315, 163, 181]",0.0067075942642986774,-0.03873597293914294,0.054778337478637695,7.469695497483905e-35,0.026952004060149193,8.284326553344727,0.967973745495008
2B61A,clean,k_only,0.0,"[315, 163, 181]",0.573798656463623,1.0,0.33094823360443115,0.3145676553249359,0.28058332204818726,6.574741840362549,0.7682190512286114
2B61A,clean,k_only,0.5,"[315, 163, 181]",0.47941240668296814,0.8271134928176226,0.26454058289527893,0.25646084547042847,0.22968126833438873,6.975030899047852,0.8149904208651507
2B61A,clean,k_only,1.0,"[315, 163, 181]",0.37157532572746277,0.6295892102609305,0.2064610719680786,0.20527122914791107,0.18453319370746613,7.3115129470825195,0.8543063249679951
2B61A,clean,k_only,2.0,"[315, 163, 181]",0.2072918862104416,0.3286726031067133,0.1344670206308365,0.12583670020103455,0.11393047869205475,7.792457103729248,0.9105017578357776
2B61A,clean,k_only,4.0,"[315, 163, 181]",0.029005326330661774,0.002106597075034216,0.07003557682037354,0.042482174932956696,0.03895261511206627,8.203771591186523,0.9585613825302716
2B61A,clean,k_only,8.0,"[315, 163, 181]",0.010356680490076542,-0.03205197210800321,0.05466514825820923,0.004412917420268059,0.022145306691527367,8.307218551635742,0.9706485378495746
2B61A,clean,k_only,10.0,"[315, 163, 181]",0.009924306534230709,-0.03284394787986118,0.054768890142440796,0.0014947510790079832,0.022221583873033524,8.30588150024414,0.9704923114339313
2B61A,clean,k_only,12.0,"[315, 163, 181]",0.009814554825425148,-0.03304497917029582,0.05477762594819069,0.000531589612364769,0.02224356308579445,8.303802490234375,0.970249391615028
2B61A,clean,k_only,14.0,"[315, 163, 181]",0.009783988818526268,-0.03310096667041941,0.05478338897228241,0.00019766902551054955,0.022250132635235786,8.302543640136719,0.970102302550371
