mode,stratum,tm_range,model,n_test_pairs,auc
top1,within_pfam,all,M0,195,0.5337091848719756
top1,within_pfam,all,M1_AA,195,0.7003758515386422
top1,within_pfam,all,M1_3Di,195,0.8964059196617336
top1,within_pfam,all,M2,195,0.8934695795160911
top1,within_pfam,tm03_08,M0,158,0.324260752688172
top1,within_pfam,tm03_08,M1_AA,158,0.6004704301075269
top1,within_pfam,tm03_08,M1_3Di,158,0.8803763440860215
top1,within_pfam,tm03_08,M2,158,0.8790322580645162
top1,cross_pfam_same_hsf,all,M0,1394,0.7121041732200901
top1,cross_pfam_same_hsf,all,M1_AA,1394,0.7139443745412604
top1,cross_pfam_same_hsf,all,M1_3Di,1394,0.8261035965188215
top1,cross_pfam_same_hsf,all,M2,1394,0.8245622313096362
top1,cross_pfam_same_hsf,tm03_08,M0,1006,0.6013834816462736
top1,cross_pfam_same_hsf,tm03_08,M1_AA,1006,0.6164743233222099
top1,cross_pfam_same_hsf,tm03_08,M1_3Di,1006,0.8052651093807934
top1,cross_pfam_same_hsf,tm03_08,M2,1006,0.8039210233592881
top1,within_or_cross_pfam_same_hsf,all,M0,1589,0.7679466479209458
top1,within_or_cross_pfam_same_hsf,all,M1_AA,1589,0.7752206832668812
top1,within_or_cross_pfam_same_hsf,all,M1_3Di,1589,0.8739624865905855
top1,within_or_cross_pfam_same_hsf,all,M2,1589,0.8732705058781748
top1,within_or_cross_pfam_same_hsf,tm03_08,M0,1164,0.6793155438865566
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,1164,0.6995934985767576
top1,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,1164,0.8600673278136656
top1,within_or_cross_pfam_same_hsf,tm03_08,M2,1164,0.8599925913409673
