mode,stratum,tm_range,model,n,r2,params,se
top3,within_pfam,all,M0,195,0.09686153031754341,"{""Intercept"": -3.6618344672184975, ""tm"": 6.48647079450906}","{""Intercept"": 1.2271190494049853, ""tm"": 1.7747138536288465}"
top3,within_pfam,all,M1_AA,195,0.09686153326079827,"{""Intercept"": -3.660018059880532, ""tm"": 6.486231678816967, ""d_aa"": -0.002206364838117099}","{""Intercept"": 4.052638034081432, ""tm"": 2.2628933005583836, ""d_aa"": 3.817510208847234}"
top3,within_pfam,all,M1_3Di,195,0.1739726788002247,"{""Intercept"": 1.9057223837565336, ""tm"": 4.740818889790582, ""d_3di"": -7.534424507524635}","{""Intercept"": 2.79128103615845, ""tm"": 2.1765804213414417, ""d_3di"": 2.8151848085377265}"
top3,within_pfam,all,M2,195,0.18582474747533617,"{""Intercept"": -2.0866875935814986, ""tm"": 5.740251951174459, ""d_aa"": 5.345360789305562, ""d_3di"": -8.818569744949107}","{""Intercept"": 5.008183852834159, ""tm"": 2.6510730110279725, ""d_aa"": 4.516919975041715, ""d_3di"": 2.733598560703994}"
top3,within_pfam,all,dR2_M1_AA_vs_M0_CI,195,,"{""lo"": 4.251807827490851e-05, ""hi"": 0.06668890127281468}",
top3,within_pfam,all,dR2_M1_3Di_vs_M0_CI,195,,"{""lo"": 0.00729843154826158, ""hi"": 0.26762838121204857}",
top3,within_pfam,tm03_08,M0,158,0.04116850037169817,"{""Intercept"": -2.6823323411639937, ""tm"": 4.858620309552898}","{""Intercept"": 1.4484350795739704, ""tm"": 2.206129808201852}"
top3,within_pfam,tm03_08,M1_AA,158,0.04230302048657952,"{""Intercept"": -3.9771050822269776, ""tm"": 5.106434316906892, ""d_aa"": 1.4692858442184191}","{""Intercept"": 4.427012906368452, ""tm"": 2.51256557258055, ""d_aa"": 4.328119279802162}"
top3,within_pfam,tm03_08,M1_3Di,158,0.12274768018190085,"{""Intercept"": 2.461715992511461, ""tm"": 3.8233162763262407, ""d_3di"": -7.536426707054326}","{""Intercept"": 3.0329087381876585, ""tm"": 2.4482857566366567, ""d_3di"": 3.144016440857109}"
top3,within_pfam,tm03_08,M2,158,0.14016687708632947,"{""Intercept"": -2.460698063481134, ""tm"": 4.698033136442226, ""d_aa"": 6.636758632918336, ""d_3di"": -8.835837536236356}","{""Intercept"": 5.628741279552538, ""tm"": 2.782742744300839, ""d_aa"": 5.307208663168993, ""d_3di"": 2.9979236188067326}"
top3,within_pfam,tm03_08,dR2_M1_AA_vs_M0_CI,158,,"{""lo"": 4.513094536074402e-05, ""hi"": 0.07030794076709114}",
top3,within_pfam,tm03_08,dR2_M1_3Di_vs_M0_CI,158,,"{""lo"": 0.01799765457463781, ""hi"": 0.3104118897956891}",
top3,cross_pfam_same_hsf,all,M0,697,0.17265710407369905,"{""Intercept"": -4.284273965474193, ""tm"": 6.913819201991031}","{""Intercept"": 0.736133259793884, ""tm"": 1.3727591394390344}"
top3,cross_pfam_same_hsf,all,M1_AA,697,0.1739193995110111,"{""Intercept"": -5.834965283550743, ""tm"": 7.304760383907505, ""d_aa"": 1.6703712925890792}","{""Intercept"": 2.002880474302131, ""tm"": 1.5803842017782024, ""d_aa"": 1.7302027045886692}"
top3,cross_pfam_same_hsf,all,M1_3Di,697,0.1733943718386054,"{""Intercept"": -3.4833806487141543, ""tm"": 6.540183129147721, ""d_3di"": -0.9532176772974154}","{""Intercept"": 1.641131513990377, ""tm"": 1.6204481537114102, ""d_3di"": 1.530213671306273}"
top3,cross_pfam_same_hsf,all,M2,697,0.1753815939614436,"{""Intercept"": -5.155269441456074, ""tm"": 6.874712642586866, ""d_aa"": 2.2035015510060423, ""d_3di"": -1.3941913221340598}","{""Intercept"": 2.383074304322129, ""tm"": 1.7430490316755405, ""d_aa"": 1.5880824137232232, ""d_3di"": 1.4770811358259393}"
top3,cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,697,,"{""lo"": 5.188330464073188e-06, ""hi"": 0.015853394189653588}",
top3,cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,697,,"{""lo"": 6.000424148319696e-06, ""hi"": 0.02725239620985289}",
top3,cross_pfam_same_hsf,tm03_08,M0,503,0.09423381785300378,"{""Intercept"": -4.176074020616965, ""tm"": 6.636948302036438}","{""Intercept"": 0.7784249841701971, ""tm"": 1.480440655151586}"
top3,cross_pfam_same_hsf,tm03_08,M1_AA,503,0.09796680540019798,"{""Intercept"": -6.9891550942016485, ""tm"": 7.252310769889262, ""d_aa"": 3.0705428765643945}","{""Intercept"": 2.4486778922461605, ""tm"": 1.6629364440405352, ""d_aa"": 2.365604117195186}"
top3,cross_pfam_same_hsf,tm03_08,M1_3Di,503,0.09428776836194364,"{""Intercept"": -3.978562669274296, ""tm"": 6.550096339091183, ""d_3di"": -0.23768747646964883}","{""Intercept"": 1.7446243233537382, ""tm"": 1.7415548933920189, ""d_3di"": 1.5941197240999716}"
top3,cross_pfam_same_hsf,tm03_08,M2,503,0.09841252189089233,"{""Intercept"": -6.617077514214302, ""tm"": 7.0363046844723325, ""d_aa"": 3.308860797351408, ""d_3di"": -0.7076018626800127}","{""Intercept"": 2.8646388109018366, ""tm"": 1.8594375616089946, ""d_aa"": 2.234746825381639, ""d_3di"": 1.5521254705103777}"
top3,cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,503,,"{""lo"": 2.1965429935821844e-06, ""hi"": 0.0359100353953243}",
top3,cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,503,,"{""lo"": 5.413473300763805e-06, ""hi"": 0.025823826796586985}",
top3,within_or_cross_pfam_same_hsf,all,M0,892,0.2248199257625828,"{""Intercept"": -4.417357068486776, ""tm"": 7.325096235668264}","{""Intercept"": 0.6371874570778803, ""tm"": 1.1298446898348324}"
top3,within_or_cross_pfam_same_hsf,all,M1_AA,892,0.22529019237276637,"{""Intercept"": -5.412760543307533, ""tm"": 7.592874001734347, ""d_aa"": 1.064429365242829}","{""Intercept"": 1.7369478821383058, ""tm"": 1.300614160330854, ""d_aa"": 1.5936308288156285}"
top3,within_or_cross_pfam_same_hsf,all,M1_3Di,892,0.2341292063135778,"{""Intercept"": -1.761744886594803, ""tm"": 6.150441869702141, ""d_3di"": -3.2217644938174907}","{""Intercept"": 1.0627059784438933, ""tm"": 1.195214513519933, ""d_3di"": 1.0357490202026434}"
top3,within_or_cross_pfam_same_hsf,all,M2,892,0.23680595732251997,"{""Intercept"": -3.8399536300820487, ""tm"": 6.614866954069382, ""d_aa"": 2.698074508511416, ""d_3di"": -3.750708221586298}","{""Intercept"": 1.8379177054223939, ""tm"": 1.3090790577351286, ""d_aa"": 1.636691673344529, ""d_3di"": 1.0597778700815956}"
top3,within_or_cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,892,,"{""lo"": 6.367713900443108e-06, ""hi"": 0.010703457913373116}",
top3,within_or_cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,892,,"{""lo"": 0.00015464088772845777, ""hi"": 0.03766357604086651}",
top3,within_or_cross_pfam_same_hsf,tm03_08,M0,661,0.12288269546827535,"{""Intercept"": -4.242198707652254, ""tm"": 6.9298275360731925}","{""Intercept"": 0.6585126726172408, ""tm"": 1.2107253043871269}"
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,661,0.12480830962276568,"{""Intercept"": -6.219738440171511, ""tm"": 7.3989993293080945, ""d_aa"": 2.1444462352936062}","{""Intercept"": 1.8461306049725847, ""tm"": 1.3353904894270165, ""d_aa"": 1.8115596922826682}"
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,661,0.13179261003020437,"{""Intercept"": -1.9232684467556727, ""tm"": 5.9729187485405655, ""d_3di"": -2.861712865782263}","{""Intercept"": 1.0713202441348477, ""tm"": 1.2466720614554223, ""d_3di"": 1.0193247310065843}"
top3,within_or_cross_pfam_same_hsf,tm03_08,M2,661,0.13675474153061873,"{""Intercept"": -4.767427992568264, ""tm"": 6.558689716801421, ""d_aa"": 3.6043207795774963, ""d_3di"": -3.4515287003993076}","{""Intercept"": 1.9104357932091585, ""tm"": 1.3165314773258234, ""d_aa"": 1.9269555469968758, ""d_3di"": 1.076439892585884}"
top3,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,661,,"{""lo"": 7.444721766119989e-06, ""hi"": 0.020715717176638695}",
top3,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,661,,"{""lo"": 0.0001240233665704249, ""hi"": 0.0400964487207388}",
