perm,dR2_AA,dR2_3Di
0,1.6572816145199454e-05,0.00021407459988198596
1,0.002541075952700922,0.0018142566330802135
2,0.0016762828496268423,0.001061847731662513
3,0.0023160288905228477,0.0006291426400028
4,6.881470328523598e-05,0.0003768011931335469
5,0.00011594471251519245,0.000798928204183591
6,0.0004939997527345641,2.6003687705999923e-05
7,0.0005949331990571238,0.0002466332998191101
8,8.774466048189211e-07,0.0031650287368113483
9,0.0027933427779102127,0.0031281261075426503
10,0.0014370216603927233,1.597409756692869e-07
11,0.0005254227457374139,0.0016212025911900296
12,1.879003065474727e-06,0.00012977811330361355
13,0.0035716160971501765,0.0017635195342700083
14,0.00017521495417249788,0.0008531313580408817
15,1.0522381043598372e-05,0.0003144498361296044
16,0.0004265261328100234,6.172034922236058e-05
17,0.00015818067180495277,0.00025295658784041386
18,7.801226879711187e-05,0.0020386088558833615
19,0.0013722388957927434,0.0019978787562839884
20,0.00014273805688369556,7.776881972398897e-05
21,0.000867777584726781,3.348400039715482e-05
22,2.0244027846616497e-05,0.0017495135202816314
23,7.902631747358502e-05,0.002011542864970073
24,0.0003686126927564537,2.700956498680185e-05
25,1.9155926109348798e-05,0.0009702710772330203
26,0.0001190509184357813,0.0006539555356345206
27,0.0011626853817670035,0.005389950106201025
28,0.0008948159859510918,6.536649841804021e-05
29,0.000565442201024613,5.554389790551895e-06
30,1.433818919149843e-06,0.0010474858405217224
31,0.0016066186262817528,0.00015678510960603909
32,8.90784160512137e-06,0.0008819124079876284
33,0.0005495730517612873,0.002004365042995282
34,0.0043542669836434955,0.005436637662682875
35,0.0007512957193572811,0.0006175674999767677
36,8.44319790571646e-06,0.0019270181928549013
37,0.00012469528659220241,0.0008446049962419488
38,0.000992842665352045,2.6612657699542908e-05
39,1.1118528466469435e-05,6.529548220923775e-05
40,0.001796073767419304,0.002942899448008962
41,0.00022992740836680348,6.501292144200921e-05
42,1.4012670567220553e-05,0.0012882730150677313
43,0.0007910646435286273,0.0007269494106001417
44,9.7265755164333e-05,0.00026669806960222253
45,8.805246953791368e-08,0.0005923867681905115
46,0.002844182594643585,0.0068621923760490144
47,0.0009734439797259853,5.906335355398973e-05
48,8.472813265436585e-07,0.00013665145200902895
49,0.0004825743546970074,0.003562481339459578
50,0.003558128110787817,0.001401011119619655
51,5.336176669390458e-05,0.00010818707828197383
52,0.00019590644619604802,2.8859255670643513e-05
53,1.2444362110786145e-06,0.000998854582083375
54,1.0087614172871184e-06,0.0023313193580771774
55,0.0030921595648997213,0.00444702476997183
56,0.0002579109122644585,5.587289864217304e-06
57,0.00048792794397534145,0.0010318774803294017
58,0.0005495406674521641,0.0014155061472227448
59,0.00014116659727370084,0.0022560840776434388
60,4.423774630057942e-06,0.005258810536137082
61,9.88931857606179e-05,9.127913122020104e-07
62,0.0004746912838484718,0.0017732828007814838
63,0.0010811042930427561,2.3872470430674753e-05
64,0.0011652466047087362,9.224646940309e-06
65,9.188833561935006e-05,5.176292773934055e-05
66,5.4102196289540494e-05,0.0027640103501681557
67,0.00013994191006772017,0.0006405163676458381
68,0.00022138273881955328,0.0007684724510205188
69,2.85471592745834e-05,2.7235433201044934e-05
70,0.0004884506531893651,0.0002112818022601548
71,0.002637947713352129,0.00023517237702253002
72,0.00022858385525004188,0.0014257301008990808
73,5.980086070556112e-06,0.0022555328983913103
74,0.0012076398639365715,0.001312855699529325
75,0.00011108969238260435,0.0013785691545097345
76,2.1696254421277317e-05,0.0012303070665925508
77,0.0021767590318112484,0.0006311166124433054
78,0.00013831534742014817,0.0069810945003490055
79,0.0011594040815318118,0.00036104518882107417
80,0.0009538583123011035,0.0008717967818491212
81,9.53329916933976e-05,0.00017460881663733385
82,0.00038854248209785336,0.0015157009244283204
83,0.00027673301669517425,6.348134770117753e-05
84,7.936140069197961e-05,0.0024080336736566066
85,0.0002062148676497122,0.0008296691327223105
86,0.00018876249705013226,0.007788648511470431
87,0.0016212879947588021,0.0006751786098819768
88,0.0010234667602688763,0.00041212309313831685
89,0.0008899519977987325,0.00044660672830521
90,0.0021790417462616007,0.0008518084752339172
91,0.00040529627377017263,2.7452287119089647e-06
92,0.0001009944367239557,3.162909257103941e-05
93,0.00709606192796175,0.01075776024488806
94,0.00038192351400390123,0.0014721902355392391
95,0.002576569558518038,0.0001132254960457546
96,0.005760395801883589,0.0012864676546295861
97,3.5084858754697024e-05,0.0003423194804423879
98,0.00018621443096034085,0.0014718534806575923
99,0.0018125107282992436,0.00025420116643748436
