mode,stratum,tm_range,model,n_test_pairs,auc
top3,within_pfam,all,M0,529,0.5578636536826989
top3,within_pfam,all,M1_AA,529,0.5557021014683899
top3,within_pfam,all,M1_3Di,529,0.6141006477329347
top3,within_pfam,all,M2,529,0.6151704328966265
top3,within_pfam,tm03_08,M0,406,0.4980221229213977
top3,within_pfam,tm03_08,M1_AA,406,0.4915879178570556
top3,within_pfam,tm03_08,M1_3Di,406,0.5581031914633848
top3,within_pfam,tm03_08,M2,406,0.5592752667692232
top3,cross_pfam_same_hsf,all,M0,4516,0.7854886171441283
top3,cross_pfam_same_hsf,all,M1_AA,4516,0.7859538382856963
top3,cross_pfam_same_hsf,all,M1_3Di,4516,0.780683194898352
top3,cross_pfam_same_hsf,all,M2,4516,0.7819405051268378
top3,cross_pfam_same_hsf,tm03_08,M0,2400,0.6797255926911786
top3,cross_pfam_same_hsf,tm03_08,M1_AA,2400,0.679744639036768
top3,cross_pfam_same_hsf,tm03_08,M1_3Di,2400,0.6678154074829593
top3,cross_pfam_same_hsf,tm03_08,M2,2400,0.6691090041793124
top3,within_or_cross_pfam_same_hsf,all,M0,5045,0.8016677879087166
top3,within_or_cross_pfam_same_hsf,all,M1_AA,5045,0.8016794178129578
top3,within_or_cross_pfam_same_hsf,all,M1_3Di,5045,0.7974000106557754
top3,within_or_cross_pfam_same_hsf,all,M2,5045,0.7991763045770532
top3,within_or_cross_pfam_same_hsf,tm03_08,M0,2806,0.7043893022184055
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,2806,0.7034634842392009
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,2806,0.6929376754552325
top3,within_or_cross_pfam_same_hsf,tm03_08,M2,2806,0.6949359973246242
