mode,stratum,tm_range,model,n,r2,params,se
top3,within_pfam,all,M0,529,0.04178845548901844,"{""Intercept"": -2.222941223470122, ""tm"": 3.7302367383920205}","{""Intercept"": 0.6414604964501905, ""tm"": 0.9268992647570812}"
top3,within_pfam,all,M1_AA,529,0.042066105875865234,"{""Intercept"": -2.750141357455435, ""tm"": 3.879380347422602, ""d_aa"": 0.5659236622219638}","{""Intercept"": 1.3585932167582324, ""tm"": 0.983681963631543, ""d_aa"": 1.3066525081075315}"
top3,within_pfam,all,M1_3Di,529,0.06660456200563059,"{""Intercept"": 0.5536133065078502, ""tm"": 2.603336639408336, ""d_3di"": -3.626283376868136}","{""Intercept"": 1.070448357356794, ""tm"": 0.9958238085648519, ""d_3di"": 1.0897285649036559}"
top3,within_pfam,all,M2,529,0.07597066731043434,"{""Intercept"": -1.973234376321763, ""tm"": 3.192466391855765, ""d_aa"": 3.6776857066236492, ""d_3di"": -4.778620082823768}","{""Intercept"": 1.499722586979738, ""tm"": 1.0328161879213709, ""d_aa"": 1.5679898345329175, ""d_3di"": 1.2409386944990883}"
top3,within_pfam,all,dR2_M1_AA_vs_M0_CI,529,,"{""lo"": 1.1565206083152815e-05, ""hi"": 0.013197643443677298}",
top3,within_pfam,all,dR2_M1_3Di_vs_M0_CI,529,,"{""lo"": 0.001408788244104789, ""hi"": 0.08664316993868404}",
top3,within_pfam,tm03_08,M0,406,0.02042995376865231,"{""Intercept"": -1.8396460426664807, ""tm"": 3.12414824799743}","{""Intercept"": 0.718308776641188, ""tm"": 1.0873868873466588}"
top3,within_pfam,tm03_08,M1_AA,406,0.021725688756902617,"{""Intercept"": -2.901605233305754, ""tm"": 3.2787931330102373, ""d_aa"": 1.248321032898977}","{""Intercept"": 1.5117108882143449, ""tm"": 1.1009253194542759, ""d_aa"": 1.5882595037207559}"
top3,within_pfam,tm03_08,M1_3Di,406,0.03399961795109885,"{""Intercept"": -0.013773125891719858, ""tm"": 2.5971601690182395, ""d_3di"": -2.597220567240481}","{""Intercept"": 1.0519514097844624, ""tm"": 1.1032186506411699, ""d_3di"": 1.1566445671077064}"
top3,within_pfam,tm03_08,M2,406,0.04341356903357141,"{""Intercept"": -2.478762284770564, ""tm"": 2.8435032887441167, ""d_aa"": 3.800432732988696, ""d_3di"": -3.6848885136722505}","{""Intercept"": 1.6240935358260578, ""tm"": 1.1043826926799918, ""d_aa"": 1.908049816844435, ""d_3di"": 1.3020507482095436}"
top3,within_pfam,tm03_08,dR2_M1_AA_vs_M0_CI,406,,"{""lo"": 1.4373152954808012e-05, ""hi"": 0.02433973392904448}",
top3,within_pfam,tm03_08,dR2_M1_3Di_vs_M0_CI,406,,"{""lo"": 6.368520302318383e-05, ""hi"": 0.08485396251415395}",
top3,cross_pfam_same_hsf,all,M0,2258,0.22854162751400708,"{""Intercept"": -4.260375241294778, ""tm"": 6.892596542304486}","{""Intercept"": 0.4618598531221622, ""tm"": 0.8806011541964486}"
top3,cross_pfam_same_hsf,all,M1_AA,2258,0.23415166649951968,"{""Intercept"": -7.498100232419966, ""tm"": 7.720179458490283, ""d_aa"": 3.4724846454986125}","{""Intercept"": 1.411742682881882, ""tm"": 1.0731276361369986, ""d_aa"": 1.150694980176306}"
top3,cross_pfam_same_hsf,all,M1_3Di,2258,0.22855843199984915,"{""Intercept"": -4.381877555973509, ""tm"": 6.944568617095142, ""d_3di"": 0.1462953282483062}","{""Intercept"": 0.9847131094924452, ""tm"": 1.0082727554950572, ""d_3di"": 0.9456153358549644}"
top3,cross_pfam_same_hsf,all,M2,2258,0.23468277359318923,"{""Intercept"": -7.1648232981690665, ""tm"": 7.5090005971759535, ""d_aa"": 3.8896253262795186, ""d_3di"": -0.8699344424074474}","{""Intercept"": 1.465733512082481, ""tm"": 1.0958994721913835, ""d_aa"": 1.2585272979653115, ""d_3di"": 1.0201525378516514}"
top3,cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,2258,,"{""lo"": 0.00010297170083168609, ""hi"": 0.020751860883536758}",
top3,cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,2258,,"{""lo"": 3.915267780174592e-06, ""hi"": 0.005927520663549538}",
top3,cross_pfam_same_hsf,tm03_08,M0,1200,0.12113814172338744,"{""Intercept"": -4.280657726269185, ""tm"": 7.063095272049247}","{""Intercept"": 0.5058695526417835, ""tm"": 0.9801973385964807}"
top3,cross_pfam_same_hsf,tm03_08,M1_AA,1200,0.12963146332764974,"{""Intercept"": -8.512365423303246, ""tm"": 8.104922527532418, ""d_aa"": 4.505244874314835}","{""Intercept"": 1.5420689525842952, ""tm"": 1.1215661965880255, ""d_aa"": 1.3862279582489905}"
top3,cross_pfam_same_hsf,tm03_08,M1_3Di,1200,0.12129193112728309,"{""Intercept"": -4.626231293905095, ""tm"": 7.21568170479046, ""d_3di"": 0.40658894885358104}","{""Intercept"": 1.166118223635687, ""tm"": 1.1736601018829613, ""d_3di"": 1.0271721643033627}"
top3,cross_pfam_same_hsf,tm03_08,M2,1200,0.12983418667752022,"{""Intercept"": -8.288948937262408, ""tm"": 7.970098532374311, ""d_aa"": 4.709181045306151, ""d_3di"": -0.4891912347612107}","{""Intercept"": 1.7104555113091302, ""tm"": 1.223704552575068, ""d_aa"": 1.398567927977828, ""d_3di"": 1.0573338469975808}"
top3,cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,1200,,"{""lo"": 0.000312569980587718, ""hi"": 0.027431920033595326}",
top3,cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,1200,,"{""lo"": 8.644193870238626e-06, ""hi"": 0.009088643465164699}",
top3,within_or_cross_pfam_same_hsf,all,M0,2787,0.23500675474027866,"{""Intercept"": -4.010062010824224, ""tm"": 6.36690659221431}","{""Intercept"": 0.37548056639955585, ""tm"": 0.6686289037798988}"
top3,within_or_cross_pfam_same_hsf,all,M1_AA,2787,0.23837010558107719,"{""Intercept"": -6.402331653860848, ""tm"": 7.025141194959209, ""d_aa"": 2.5504107132775378}","{""Intercept"": 1.0598293425062661, ""tm"": 0.8082239878273607, ""d_aa"": 0.885608602582732}"
top3,within_or_cross_pfam_same_hsf,all,M1_3Di,2787,0.23695712319681783,"{""Intercept"": -2.841107225871153, ""tm"": 5.8323463359402785, ""d_3di"": -1.4020963060788667}","{""Intercept"": 0.6742081537840097, ""tm"": 0.7380667945450523, ""d_3di"": 0.6443892812531556}"
top3,within_or_cross_pfam_same_hsf,all,M2,2787,0.24346496774841675,"{""Intercept"": -5.5932270182035895, ""tm"": 6.426361246691397, ""d_aa"": 3.8765122045029146, ""d_3di"": -2.4627285386817364}","{""Intercept"": 1.0682383499291754, ""tm"": 0.8048968996772642, ""d_aa"": 1.0286230103414047, ""d_3di"": 0.7296110133933595}"
top3,within_or_cross_pfam_same_hsf,all,dR2_M1_AA_vs_M0_CI,2787,,"{""lo"": 3.9713132739874204e-05, ""hi"": 0.02129920474833078}",
top3,within_or_cross_pfam_same_hsf,all,dR2_M1_3Di_vs_M0_CI,2787,,"{""lo"": 1.7904508120586423e-06, ""hi"": 0.011890688491514369}",
top3,within_or_cross_pfam_same_hsf,tm03_08,M0,1606,0.11012286898946055,"{""Intercept"": -3.8020356981203873, ""tm"": 6.1564443376073825}","{""Intercept"": 0.39834645423510223, ""tm"": 0.7165260212732125}"
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_AA,1606,0.11425710802305689,"{""Intercept"": -6.431959585667871, ""tm"": 6.827861367804734, ""d_aa"": 2.8036646881260383}","{""Intercept"": 1.1062235626211512, ""tm"": 0.8130313286574415, ""d_aa"": 1.0222413134956387}"
top3,within_or_cross_pfam_same_hsf,tm03_08,M1_3Di,1606,0.11155364713345572,"{""Intercept"": -2.8981304137717636, ""tm"": 5.740700986369221, ""d_3di"": -1.067610561151257}","{""Intercept"": 0.7615865458610281, ""tm"": 0.8204763824895843, ""d_3di"": 0.6591867677582166}"
top3,within_or_cross_pfam_same_hsf,tm03_08,M2,1606,0.11857966130194497,"{""Intercept"": -5.776736355062859, ""tm"": 6.309325397696098, ""d_aa"": 3.9248137932468157, ""d_3di"": -2.0137582434144985}","{""Intercept"": 1.1393496545928075, ""tm"": 0.8464761261821945, ""d_aa"": 1.12348614697921, ""d_3di"": 0.7146299461394643}"
top3,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_AA_vs_M0_CI,1606,,"{""lo"": 5.016196106765459e-05, ""hi"": 0.01963831859166948}",
top3,within_or_cross_pfam_same_hsf,tm03_08,dR2_M1_3Di_vs_M0_CI,1606,,"{""lo"": 1.0175746045937296e-05, ""hi"": 0.012656191946295879}",
